network_id,transaction_id,customer_id,transaction_date,transaction_amount,transaction_type,status
NET_3,TX_296393,CUST_1,2024-04-16 10:15:30,1726.4,withdrawal,completed
NET_3,TX_419444,CUST_1,2023-11-04 04:37:56,2922.91,deposit,completed
NET_3,TX_335596,CUST_1,2024-07-17 16:02:47,4984.47,withdrawal,completed
NET_3,TX_147989,CUST_1,2024-02-19 13:00:18,1230.65,deposit,completed
NET_3,TX_588523,CUST_1,2024-07-17 06:01:42,854.67,deposit,completed
NET_3,TX_747534,CUST_1,2024-08-13 13:52:03,2696.78,deposit,completed
NET_3,TX_766509,CUST_1,2023-10-15 18:36:31,4633.41,withdrawal,completed
NET_3,TX_145340,CUST_1,2023-10-30 22:02:01,3163.68,withdrawal,failed
NET_3,TX_836576,CUST_1,2024-04-27 16:22:07,1635.27,withdrawal,completed
NET_3,TX_339665,CUST_1,2024-01-08 03:53:06,1309.26,withdrawal,completed
NET_3,TX_323664,CUST_1,2024-08-26 13:01:48,3664.49,deposit,completed
NET_3,TX_568796,CUST_1,2024-02-12 05:03:58,4211.31,deposit,completed
NET_3,TX_133334,CUST_1,2023-10-18 14:40:38,870.75,withdrawal,completed
NET_3,TX_212453,CUST_1,2024-05-16 01:41:47,2877.7,withdrawal,completed
NET_3,TX_315254,CUST_1,2024-02-26 22:29:50,3940.93,withdrawal,completed
NET_3,TX_673050,CUST_1,2023-11-08 23:05:07,479.46,deposit,failed
NET_3,TX_662468,CUST_1,2024-07-31 04:48:35,4569.9,withdrawal,completed
NET_3,TX_104654,CUST_1,2023-12-30 17:14:52,1602.39,withdrawal,failed
NET_3,TX_157878,CUST_1,2024-05-23 22:18:04,4182.05,withdrawal,completed
NET_3,TX_295454,CUST_1,2024-08-21 18:26:59,1521.99,withdrawal,completed
NET_3,TX_152308,CUST_1,2024-07-05 01:59:31,78.23,withdrawal,completed
NET_3,TX_306186,CUST_1,2023-11-04 11:00:36,4878.88,withdrawal,failed
NET_3,TX_812744,CUST_1,2023-09-21 19:04:33,132.57,withdrawal,completed
NET_3,TX_510985,CUST_1,2024-03-03 19:17:58,1664.87,withdrawal,failed
NET_3,TX_650560,CUST_1,2024-08-22 06:03:57,2623.89,withdrawal,completed
NET_3,TX_842941,CUST_1,2024-03-14 12:38:55,2200.32,deposit,completed
NET_3,TX_192551,CUST_1,2024-04-24 14:14:36,1368.7,deposit,completed
NET_3,TX_282114,CUST_1,2023-09-25 22:20:47,3630.03,deposit,completed
NET_3,TX_982720,CUST_1,2023-11-13 03:41:11,2814.31,deposit,completed
NET_3,TX_164529,CUST_1,2024-08-29 03:40:33,3425.52,withdrawal,failed
NET_3,TX_310534,CUST_1,2024-09-19 19:17:28,2004.46,deposit,failed
NET_3,TX_294107,CUST_1,2023-11-29 12:47:46,2605.91,deposit,completed
NET_3,TX_794826,CUST_1,2023-11-30 17:05:10,1073.78,deposit,completed
NET_3,TX_828400,CUST_1,2024-07-04 07:14:22,4226.25,deposit,completed
NET_3,TX_113401,CUST_1,2024-09-16 16:45:33,2452.99,withdrawal,pending
NET_3,TX_903497,CUST_1,2024-03-28 14:21:14,4301.03,withdrawal,completed
NET_3,TX_329745,CUST_1,2024-05-23 13:49:21,1971.56,withdrawal,completed
NET_3,TX_248786,CUST_1,2024-04-22 16:48:53,2987.62,withdrawal,failed
NET_3,TX_535393,CUST_1,2024-06-19 21:01:29,380.23,deposit,completed
NET_3,TX_410726,CUST_1,2024-08-21 09:34:40,3651.41,deposit,failed
NET_3,TX_602221,CUST_1,2024-02-12 11:27:52,2776.67,withdrawal,completed
NET_3,TX_845165,CUST_1,2024-05-13 04:09:01,3294.9,deposit,completed
NET_3,TX_330762,CUST_1,2023-10-19 17:44:06,1154.1,deposit,completed
NET_3,TX_491288,CUST_1,2024-03-26 23:41:42,3715.6,withdrawal,pending
NET_3,TX_251849,CUST_1,2024-06-01 02:22:30,1319.22,deposit,completed
NET_3,TX_627938,CUST_1,2024-07-09 18:16:43,2542.08,deposit,failed
NET_3,TX_946044,CUST_1,2023-11-16 07:24:40,3323.23,deposit,completed
NET_3,TX_533684,CUST_1,2024-05-02 04:22:05,4056.55,withdrawal,pending
NET_3,TX_618356,CUST_1,2024-04-17 22:59:52,1964.2,deposit,failed
NET_3,TX_974519,CUST_1,2023-10-15 13:01:32,4937.06,withdrawal,pending
NET_3,TX_692997,CUST_2,2024-02-08 13:30:34,3217.69,deposit,completed
NET_3,TX_181923,CUST_2,2024-04-28 01:29:04,2966.73,deposit,completed
NET_3,TX_391255,CUST_2,2023-11-21 08:41:55,1963.32,deposit,completed
NET_3,TX_391293,CUST_2,2024-04-26 05:16:14,4701.48,withdrawal,completed
NET_3,TX_213998,CUST_2,2024-05-27 01:14:13,2469.36,withdrawal,failed
NET_3,TX_812565,CUST_2,2024-04-23 12:20:15,3196.88,deposit,failed
NET_3,TX_474387,CUST_2,2024-04-23 23:01:19,3126.39,deposit,completed
NET_3,TX_608163,CUST_2,2024-02-23 09:29:39,2339.66,withdrawal,completed
NET_3,TX_489531,CUST_2,2024-08-29 12:50:59,388.5,withdrawal,failed
NET_3,TX_631649,CUST_2,2024-06-21 17:29:24,3220.7,deposit,completed
NET_3,TX_260535,CUST_2,2023-10-24 04:20:36,1998.88,deposit,completed
NET_3,TX_404174,CUST_2,2023-12-25 08:49:16,4336.82,deposit,failed
NET_3,TX_649088,CUST_2,2023-11-27 23:57:54,364.73,withdrawal,failed
NET_3,TX_457760,CUST_2,2024-03-08 11:52:01,1755.65,deposit,completed
NET_3,TX_587403,CUST_2,2024-04-08 08:10:33,3434.65,deposit,completed
NET_3,TX_104802,CUST_2,2024-02-10 22:05:51,4014.98,withdrawal,failed
NET_3,TX_799762,CUST_2,2023-12-28 04:02:49,662.58,withdrawal,completed
NET_3,TX_924766,CUST_2,2023-10-07 22:39:23,2922.41,withdrawal,pending
NET_3,TX_810796,CUST_2,2024-05-08 23:09:16,3524.59,deposit,completed
NET_3,TX_309281,CUST_2,2024-01-24 10:35:14,1186.95,withdrawal,pending
NET_3,TX_178749,CUST_2,2024-05-04 17:49:28,4935.07,deposit,completed
NET_3,TX_485987,CUST_2,2024-07-06 07:42:36,3433.3,withdrawal,completed
