network_id,transaction_id,customer_id,transaction_date,transaction_amount,transaction_type,status
NET_2,TX_420651,CUST_1,2024-09-08 12:53:52,2792.78,deposit,failed
NET_2,TX_289635,CUST_1,2023-10-31 15:34:23,1648.8,deposit,failed
NET_2,TX_651629,CUST_1,2024-04-01 04:09:26,3122.6,deposit,failed
NET_2,TX_797370,CUST_1,2024-04-17 23:18:13,4071.3,deposit,completed
NET_2,TX_246738,CUST_1,2024-08-27 20:59:25,2964.4,withdrawal,completed
NET_2,TX_191643,CUST_1,2023-12-12 18:41:49,374.93,deposit,completed
NET_2,TX_848162,CUST_1,2024-03-02 11:48:45,2800.46,deposit,completed
NET_2,TX_850856,CUST_1,2024-03-22 05:45:22,4698.37,deposit,completed
NET_2,TX_977865,CUST_1,2023-10-22 19:59:02,223.63,deposit,completed
NET_2,TX_835523,CUST_1,2024-08-05 17:50:18,2340.74,deposit,completed
NET_2,TX_261823,CUST_1,2024-03-09 22:47:26,2515.92,withdrawal,completed
NET_2,TX_478446,CUST_1,2023-10-06 09:17:31,3270.26,deposit,completed
NET_2,TX_900954,CUST_1,2024-03-18 00:24:05,3729.14,deposit,failed
NET_2,TX_262550,CUST_1,2024-09-10 15:24:22,2648.12,withdrawal,completed
NET_2,TX_662931,CUST_1,2024-04-26 21:24:37,1662.06,deposit,completed
NET_2,TX_179952,CUST_1,2024-02-15 19:46:04,461.69,withdrawal,completed
NET_2,TX_626940,CUST_1,2023-10-30 04:32:12,605.54,withdrawal,completed
NET_2,TX_828746,CUST_1,2023-11-16 22:41:35,2982.12,withdrawal,pending
NET_2,TX_304871,CUST_1,2023-11-14 15:40:45,3493.57,withdrawal,completed
NET_2,TX_240938,CUST_1,2023-09-28 07:20:14,4751.64,deposit,completed
NET_2,TX_885349,CUST_1,2023-10-05 22:44:26,547.23,deposit,pending
NET_2,TX_264385,CUST_1,2024-09-08 17:55:41,4353.86,withdrawal,completed
NET_2,TX_710612,CUST_1,2024-08-11 21:28:51,4568.88,deposit,failed
NET_2,TX_112707,CUST_1,2023-12-14 22:29:23,584.96,deposit,failed
NET_2,TX_192662,CUST_1,2023-10-03 06:52:49,81.18,withdrawal,pending
NET_2,TX_803902,CUST_1,2024-08-21 11:02:19,4201.93,withdrawal,pending
NET_2,TX_812153,CUST_1,2024-08-20 00:38:20,1993.6,withdrawal,pending
NET_2,TX_858413,CUST_1,2024-07-21 17:06:17,4433.57,deposit,completed
NET_2,TX_900107,CUST_1,2023-12-21 03:19:26,330.5,deposit,completed
NET_2,TX_692447,CUST_1,2024-01-18 23:21:29,684.15,deposit,completed
NET_2,TX_185465,CUST_1,2023-11-03 03:59:18,4398.15,deposit,pending
NET_2,TX_323555,CUST_1,2024-04-21 20:56:49,3881.94,withdrawal,completed
NET_2,TX_360623,CUST_1,2024-04-22 16:37:42,1289.26,withdrawal,completed
NET_2,TX_365116,CUST_1,2023-10-07 19:15:47,2063.02,deposit,completed
NET_2,TX_817859,CUST_1,2024-08-25 07:30:02,2952.78,deposit,completed
NET_2,TX_542240,CUST_1,2024-09-11 18:11:59,1194.58,deposit,completed
NET_2,TX_360204,CUST_1,2023-12-31 17:36:40,56.39,deposit,completed
NET_2,TX_433538,CUST_1,2024-04-13 15:06:19,505.85,deposit,completed
NET_2,TX_224590,CUST_1,2023-09-27 01:55:48,512.13,deposit,failed
NET_2,TX_696077,CUST_1,2024-02-13 16:23:51,3694.18,deposit,completed
NET_2,TX_442597,CUST_1,2024-05-15 03:19:41,2601.82,deposit,pending
NET_2,TX_746559,CUST_1,2023-11-26 09:49:50,4642.82,withdrawal,completed
NET_2,TX_191335,CUST_1,2023-10-11 05:25:03,3002.1,deposit,failed
NET_2,TX_607808,CUST_1,2024-01-05 14:01:02,4485.2,withdrawal,completed
NET_2,TX_127879,CUST_1,2024-03-21 15:20:17,2296.94,deposit,failed
NET_2,TX_423951,CUST_1,2023-12-28 07:02:52,1521.27,withdrawal,completed
NET_2,TX_775202,CUST_1,2023-09-20 23:11:28,2968.04,withdrawal,completed
NET_2,TX_310080,CUST_1,2024-03-29 07:32:18,2141.09,withdrawal,completed
NET_2,TX_177486,CUST_1,2024-05-02 22:59:45,1297.76,deposit,completed
NET_2,TX_253725,CUST_1,2024-06-25 07:22:30,643.77,deposit,completed
NET_2,TX_203698,CUST_1,2023-11-25 02:09:26,3219.0,deposit,failed
NET_2,TX_568919,CUST_1,2024-04-14 23:28:13,2384.44,deposit,completed
NET_2,TX_343508,CUST_1,2024-05-19 05:09:28,3978.49,withdrawal,completed
NET_2,TX_179392,CUST_1,2024-04-17 13:40:09,1352.35,withdrawal,completed
